suite,impl,parallelism,grid_size,repetition,wall_time_ms,iters_done,max_error
threads,threads,2,100,10,155.688,30849,2.1374e-05
threads,threads,2,200,10,697.576,122171,5.5016e-06
threads,threads,2,500,10,5334.491,758964,1.0035e-06
threads,threads,2,1000,10,27052.981,3029711,3.5760e-07
threads,threads,2,2000,10,152823.486,12106565,1.9658e-07
threads,threads,4,100,6,176.729,30849,2.1374e-05
threads,threads,4,200,6,727.326,122171,5.5016e-06
threads,threads,4,500,6,5398.750,758964,1.0035e-06
threads,threads,4,1000,6,26951.863,3029711,3.5760e-07
threads,threads,4,2000,6,147145.051,12106565,1.9658e-07
threads,threads,4,100,7,175.893,30849,2.1374e-05
threads,threads,4,200,7,722.088,122171,5.5016e-06
threads,threads,4,500,7,5414.286,758964,1.0035e-06
threads,threads,4,1000,7,26972.009,3029711,3.5760e-07
threads,threads,4,2000,7,147709.300,12106565,1.9658e-07
threads,threads,4,100,8,176.830,30849,2.1374e-05
threads,threads,4,200,8,723.678,122171,5.5016e-06
threads,threads,4,500,8,5397.974,758964,1.0035e-06
threads,threads,4,1000,8,26980.774,3029711,3.5760e-07
threads,threads,4,2000,8,147580.360,12106565,1.9658e-07
threads,threads,4,100,9,176.140,30849,2.1374e-05
threads,threads,4,200,9,730.826,122171,5.5016e-06
threads,threads,4,500,9,5404.481,758964,1.0035e-06
threads,threads,4,1000,9,26898.525,3029711,3.5760e-07
threads,threads,4,2000,9,147732.255,12106565,1.9658e-07
threads,threads,4,100,10,176.243,30849,2.1374e-05
threads,threads,4,200,10,726.244,122171,5.5016e-06
threads,threads,4,500,10,5408.015,758964,1.0035e-06
threads,threads,4,1000,10,26963.269,3029711,3.5760e-07
threads,threads,4,2000,10,145472.275,12106565,1.9658e-07
threads,threads,6,100,6,185.464,30849,2.1374e-05
threads,threads,6,200,6,766.343,122171,5.5016e-06
threads,threads,6,500,6,5607.573,758964,1.0035e-06
threads,threads,6,1000,6,26566.649,3029711,3.5760e-07
threads,threads,6,2000,6,140281.447,12106565,1.9658e-07
threads,threads,6,100,7,184.770,30849,2.1374e-05
threads,threads,6,200,7,763.260,122171,5.5016e-06
threads,threads,6,500,7,5616.388,758964,1.0035e-06
threads,threads,6,1000,7,26427.430,3029711,3.5760e-07
threads,threads,6,2000,7,140647.017,12106565,1.9658e-07
threads,threads,6,100,8,184.682,30849,2.1374e-05
threads,threads,6,200,8,763.273,122171,5.5016e-06
threads,threads,6,500,8,5616.987,758964,1.0035e-06
threads,threads,6,1000,8,25642.611,3029711,3.5760e-07
threads,threads,6,2000,8,141145.810,12106565,1.9658e-07
threads,threads,6,100,9,183.745,30849,2.1374e-05
threads,threads,6,200,9,764.800,122171,5.5016e-06
threads,threads,6,500,9,5600.273,758964,1.0035e-06
threads,threads,6,1000,9,26090.978,3029711,3.5760e-07
threads,threads,6,2000,9,141611.742,12106565,1.9658e-07
threads,threads,6,100,10,184.129,30849,2.1374e-05
threads,threads,6,200,10,761.340,122171,5.5016e-06
threads,threads,6,500,10,5594.978,758964,1.0035e-06
threads,threads,6,1000,10,25909.752,3029711,3.5760e-07
threads,threads,6,2000,10,139877.442,12106565,1.9658e-07
threads,threads,8,500,1,9751.340,758964,1.0035e-06
threads,threads,8,1000,1,41920.319,3029711,3.5760e-07
threads,threads,8,2000,1,180635.434,12106565,1.9658e-07
threads,threads,8,100,2,366.051,30849,2.1374e-05
threads,threads,8,200,2,1474.892,122171,5.5016e-06
threads,threads,8,500,2,9802.560,758964,1.0035e-06
threads,threads,8,1000,2,42103.542,3029711,3.5760e-07
threads,threads,8,2000,2,181313.474,12106565,1.9658e-07
threads,threads,8,100,3,368.484,30849,2.1374e-05
threads,threads,8,200,3,1465.042,122171,5.5016e-06
threads,threads,8,500,3,9795.067,758964,1.0035e-06
threads,threads,8,1000,3,42080.392,3029711,3.5760e-07
threads,threads,8,2000,3,180736.287,12106565,1.9658e-07
threads,threads,8,100,4,369.055,30849,2.1374e-05
threads,threads,8,200,4,1471.761,122171,5.5016e-06
threads,threads,8,500,4,9794.885,758964,1.0035e-06
threads,threads,8,1000,4,42032.315,3029711,3.5760e-07
threads,threads,8,2000,4,181154.813,12106565,1.9658e-07
threads,threads,8,100,5,370.719,30849,2.1374e-05
threads,threads,8,200,5,1494.518,122171,5.5016e-06
threads,threads,8,500,5,9703.643,758964,1.0035e-06
threads,threads,8,1000,5,41977.259,3029711,3.5760e-07
threads,threads,8,2000,5,180891.438,12106565,1.9658e-07
threads,threads,8,100,6,374.330,30849,2.1374e-05
threads,threads,8,200,6,1483.212,122171,5.5016e-06
threads,threads,8,500,6,9814.812,758964,1.0035e-06
threads,threads,8,1000,6,42260.191,3029711,3.5760e-07
threads,threads,8,2000,6,181526.651,12106565,1.9658e-07
threads,threads,8,100,7,366.340,30849,2.1374e-05
threads,threads,8,200,7,1471.925,122171,5.5016e-06
threads,threads,8,500,7,9776.524,758964,1.0035e-06
threads,threads,8,1000,7,42201.921,3029711,3.5760e-07
threads,threads,8,2000,7,181477.879,12106565,1.9658e-07
threads,threads,8,100,8,367.717,30849,2.1374e-05
threads,threads,8,200,8,1482.406,122171,5.5016e-06
threads,threads,8,500,8,9805.043,758964,1.0035e-06
threads,threads,8,1000,8,41988.741,3029711,3.5760e-07
threads,threads,8,2000,8,180668.672,12106565,1.9658e-07
threads,threads,8,100,9,370.324,30849,2.1374e-05
threads,threads,8,200,9,1494.635,122171,5.5016e-06
threads,threads,8,500,9,9756.911,758964,1.0035e-06
threads,threads,8,1000,9,42051.566,3029711,3.5760e-07
threads,threads,8,2000,9,181625.174,12106565,1.9658e-07
threads,threads,8,100,10,369.764,30849,2.1374e-05
threads,threads,8,200,10,1489.910,122171,5.5016e-06
threads,threads,8,500,10,9852.763,758964,1.0035e-06
threads,threads,8,1000,10,42073.742,3029711,3.5760e-07
