suite,impl,parallelism,grid_size,repetition,wall_time_ms,iters_done,max_error
processes,processes,4,500,10,19830.721,3050351,8.6426e-07
processes,processes,4,1000,10,24805.844,3061377,3.5142e-07
processes,processes,4,2000,10,139015.993,12238403,1.7822e-07
processes,processes,6,100,1,294.936,72093,2.1259e-05
processes,processes,6,200,1,1195.328,305050,5.3707e-06
processes,processes,6,500,1,11220.918,2479060,8.6765e-07
processes,processes,6,1000,1,66772.918,7904234,2.1758e-07
processes,processes,6,100,2,283.815,69154,2.1305e-05
processes,processes,6,200,2,1161.403,293268,5.3810e-06
processes,processes,6,500,2,10088.374,2207233,8.7978e-07
processes,processes,6,1000,2,57658.142,6990699,2.5379e-07
processes,processes,6,100,3,254.485,70762,2.1293e-05
processes,processes,6,200,3,1187.386,335024,5.3649e-06
processes,processes,6,500,3,10578.748,2648853,8.6473e-07
processes,processes,6,1000,3,51839.525,6673927,2.2518e-07
processes,processes,6,100,4,261.036,72400,2.1276e-05
processes,processes,6,200,4,1016.967,288020,5.3858e-06
processes,processes,6,500,4,10405.703,2585944,8.6476e-07
processes,processes,6,1000,4,47730.736,6043222,2.5699e-07
processes,processes,6,100,5,248.115,68783,2.1301e-05
processes,processes,6,200,5,1028.491,291135,5.3806e-06
processes,processes,6,500,5,10470.363,2596150,8.6477e-07
processes,processes,6,1000,5,51954.916,6637969,2.2510e-07
processes,processes,6,100,6,256.771,70283,2.1311e-05
processes,processes,6,200,6,1100.745,310926,5.3737e-06
processes,processes,6,500,6,11114.013,2764859,8.6411e-07
processes,processes,6,1000,6,53032.826,6851359,2.2357e-07
processes,processes,6,100,7,269.905,74166,2.1258e-05
processes,processes,6,200,7,1141.019,320965,5.3667e-06
processes,processes,6,500,7,10571.046,2621716,8.6489e-07
processes,processes,6,1000,7,52808.613,6858013,2.2506e-07
processes,processes,6,100,8,247.720,68015,2.1313e-05
processes,processes,6,200,8,1097.421,309330,5.3749e-06
processes,processes,6,500,8,10742.955,2666701,8.6440e-07
processes,processes,6,1000,8,52088.145,6673586,2.2666e-07
processes,processes,6,100,9,245.667,68119,2.1330e-05
processes,processes,6,200,9,970.279,273587,5.4349e-06
processes,processes,6,500,9,10542.420,2610510,8.6451e-07
processes,processes,6,1000,9,49781.896,6395451,2.3372e-07
processes,processes,6,100,10,264.814,73558,2.1264e-05
processes,processes,6,200,10,987.454,278597,5.4205e-06
processes,processes,6,500,10,10293.134,2558326,8.6677e-07
processes,processes,6,1000,10,50434.820,6482429,2.3487e-07
processes,processes,8,100,1,425.559,69604,2.1319e-05
processes,processes,8,200,1,1998.938,327880,5.3699e-06
processes,processes,8,500,1,15910.887,2436309,8.7351e-07
processes,processes,8,1000,1,86719.504,11179161,2.1985e-07
processes,processes,8,100,2,465.797,75456,2.1255e-05
processes,processes,8,200,2,1862.220,306704,5.3839e-06
processes,processes,8,500,2,15491.049,2372075,8.7627e-07
processes,processes,8,1000,2,73890.344,10101546,2.4579e-07
processes,processes,8,100,3,406.269,69476,2.1280e-05
processes,processes,8,200,3,2217.005,318075,5.3749e-06
processes,processes,8,500,3,17011.323,2245239,9.0259e-07
processes,processes,8,1000,3,89812.246,10661619,2.2711e-07
processes,processes,8,100,4,451.819,66936,2.1344e-05
processes,processes,8,200,4,2224.230,316866,5.3744e-06
processes,processes,8,500,4,15935.354,2097853,9.6790e-07
processes,processes,8,1000,4,96359.060,11464351,2.1944e-07
processes,processes,8,100,5,490.776,68461,2.1337e-05
processes,processes,8,200,5,2218.694,310306,5.3820e-06
processes,processes,8,500,5,16694.387,2189982,9.1140e-07
processes,processes,8,1000,5,97835.363,11572023,2.1876e-07
processes,processes,8,100,6,509.150,70923,2.1284e-05
