suite,impl,parallelism,grid_size,repetition,wall_time_ms,iters_done,max_error
serial,serial_std,0,2000,8,101879.812,12106565,1.9658e-07
serial,serial_std,0,100,9,13.535,30849,2.1374e-05
serial,serial_std,0,200,9,104.357,122171,5.5016e-06
serial,serial_std,0,500,9,1608.238,758964,1.0035e-06
serial,serial_std,0,1000,9,12757.168,3029711,3.5760e-07
serial,serial_std,0,2000,9,102672.574,12106565,1.9658e-07
serial,serial_std,0,100,10,13.463,30849,2.1374e-05
serial,serial_std,0,200,10,104.299,122171,5.5016e-06
serial,serial_std,0,500,10,1630.843,758964,1.0035e-06
serial,serial_std,0,1000,10,12764.037,3029711,3.5760e-07
serial,serial_std,0,2000,10,102183.326,12106565,1.9658e-07
serial,serial_opt,0,100,6,1.007,30849,2.1374e-05
serial,serial_opt,0,200,6,7.353,122171,5.5016e-06
serial,serial_opt,0,500,6,116.289,758964,1.0035e-06
serial,serial_opt,0,1000,6,921.831,3029711,3.5760e-07
serial,serial_opt,0,2000,6,8848.660,12106565,1.9658e-07
serial,serial_opt,0,100,7,0.990,30849,2.1374e-05
serial,serial_opt,0,200,7,7.176,122171,5.5016e-06
serial,serial_opt,0,500,7,116.820,758964,1.0035e-06
serial,serial_opt,0,1000,7,921.562,3029711,3.5760e-07
serial,serial_opt,0,2000,7,8949.440,12106565,1.9658e-07
serial,serial_opt,0,100,8,1.015,30849,2.1374e-05
serial,serial_opt,0,200,8,7.195,122171,5.5016e-06
serial,serial_opt,0,500,8,116.716,758964,1.0035e-06
serial,serial_opt,0,1000,8,922.439,3029711,3.5760e-07
serial,serial_opt,0,2000,8,8798.499,12106565,1.9658e-07
serial,serial_opt,0,100,9,1.013,30849,2.1374e-05
serial,serial_opt,0,200,9,7.119,122171,5.5016e-06
serial,serial_opt,0,500,9,116.733,758964,1.0035e-06
serial,serial_opt,0,1000,9,921.480,3029711,3.5760e-07
serial,serial_opt,0,2000,9,8757.029,12106565,1.9658e-07
serial,serial_opt,0,100,10,1.031,30849,2.1374e-05
serial,serial_opt,0,200,10,7.263,122171,5.5016e-06
serial,serial_opt,0,500,10,312.693,758964,1.0035e-06
serial,serial_opt,0,1000,10,923.362,3029711,3.5760e-07
serial,serial_opt,0,2000,10,8758.265,12106565,1.9658e-07
serial,serial_cache,0,100,6,12.996,30849,2.1374e-05
serial,serial_cache,0,200,6,100.687,122171,5.5016e-06
serial,serial_cache,0,500,6,1628.453,758964,1.0035e-06
serial,serial_cache,0,1000,6,13014.313,3029711,3.5760e-07
serial,serial_cache,0,2000,6,104689.948,12106565,1.9658e-07
serial,serial_cache,0,100,7,12.990,30849,2.1374e-05
serial,serial_cache,0,200,7,100.652,122171,5.5016e-06
serial,serial_cache,0,500,7,1623.857,758964,1.0035e-06
serial,serial_cache,0,1000,7,12908.891,3029711,3.5760e-07
serial,serial_cache,0,2000,7,105579.004,12106565,1.9658e-07
serial,serial_cache,0,100,8,12.996,30849,2.1374e-05
serial,serial_cache,0,200,8,100.697,122171,5.5016e-06
serial,serial_cache,0,500,8,1634.294,758964,1.0035e-06
serial,serial_cache,0,1000,8,12906.330,3029711,3.5760e-07
serial,serial_cache,0,2000,8,103145.986,12106565,1.9658e-07
serial,serial_cache,0,100,9,12.976,30849,2.1374e-05
serial,serial_cache,0,200,9,100.607,122171,5.5016e-06
serial,serial_cache,0,500,9,1623.713,758964,1.0035e-06
serial,serial_cache,0,1000,9,12894.717,3029711,3.5760e-07
serial,serial_cache,0,2000,9,103154.177,12106565,1.9658e-07
serial,serial_cache,0,100,10,12.975,30849,2.1374e-05
serial,serial_cache,0,200,10,100.647,122171,5.5016e-06
serial,serial_cache,0,500,10,1625.170,758964,1.0035e-06
serial,serial_cache,0,1000,10,12905.244,3029711,3.5760e-07
serial,serial_cache,0,2000,10,103056.091,12106565,1.9658e-07
